"Kernel Name","main_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7f86d7775800","      USETMAXREG.TRY_ALLOC.CTAPOOL UP0, 0xf0","28","20","28","116401","3724832","3724832","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"0x7f86d7775810","      PLOP3.LUT P0, PT, PT, PT, UP0, 0x80, 0x0","159","120","159","116401","3724832","3724832","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16","139","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117","0","0","3"
"0x7f86d7775820","@!P0  BRA 0x7f86d77757e0","107","81","107","116401","3724832","1627680","32","13","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0","0","0","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81"
"0x7f86d7775830","      S2UR UR5, SR_CgaCtaId","27","22","27","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"0x7f86d7775840","      UMOV UR4, 0x400","8","0","8","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775850","      ULEA UR7, UR5, UR4, 0x18","138","101","138","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","133","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","1"
"0x7f86d7775860","      UIADD3 UR4, UR4, 0x400, URZ","6","4","6","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"0x7f86d7775870","      ULEA UR4, UR5, UR4, 0x18","17","0","17","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775880","      SYNCS.PHASECHK.TRANS64.TRYWAIT P0, [UR7+0x40], RZ","12","8","12","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"0x7f86d7775890","@!P0  BRA 0x7f86d777b240","5536","4825","5536","65536","2097152","56672","32","0","0","-","-","-","0","0","0","0","0","0","0","0","0","0","5524","0","0","0","0","0","4","4","0","0","0","4","0","0","0","0","0","0","4825","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77758a0","      SYNCS.PHASECHK.TRANS64.TRYWAIT P0, [UR7], RZ","23","19","23","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"0x7f86d77758b0","      USHF.R.U32.HI UR5, URZ, 0x4, UR4","2","0","2","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77758c0","      MOV R4, 0x1","5","0","5","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77758d0","      UMOV UR11, 0x40000040","2","0","2","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77758e0","      SHF.R.S32.HI R0, RZ, 0x7, R2","5","0","5","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77758f0","      ULOP3.LUT UR5, UR5, 0x3fff, URZ, 0xc0, !UPT","4","0","4","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775900","      R2UR UR6, R4","9","0","9","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775910","      MOV R21, 0x40000040","9","0","9","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775920","      MOV R3, UR5","10","5","10","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"0x7f86d7775930","      UIADD3 UR5, UR4, 0x18000, URZ","6","0","6","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775940","      R2UR UR9, R21","5","0","5","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775950","      PRMT R3, R3, 0x5410, R4","33","8","33","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","11","2","0","0","0","5","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","1"
"0x7f86d7775960","      USHF.R.U32.HI UR5, URZ, 0x4, UR5","2","0","2","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775970","      LEA R20, R0, R3, 0x9","17","2","17","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","6","2","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775980","      ULOP3.LUT UR5, UR5, 0x3fff, URZ, 0xc0, !UPT","5","0","5","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775990","      R2UR UR8, R20","8","0","8","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77759a0","      UPRMT UR6, UR5, 0x5410, UR6","1","0","1","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77759b0","      UMOV UR10, UR6","18","11","18","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"0x7f86d77759c0","@!P0  BRA 0x7f86d777b2a0","141","138","141","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","140","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","138","0","0","0","0","0","0","0","0","0","0","0"
